Spec,Price,product link
Hp 19.5V 3.33A 65W AC Power Adapter Charger For Laptop AC Adapter Blue Pin Charger For Pavilion 17-e127sf Pavilion 15 Notebook Pc 15-e029TX 15-e026tx 14-e035tx 14-e022tx 14-e021tx M4-1010tx ENVY 17-j106tx 15-j105tx M4-1009TX, 4950,https://www.jumia.com.ng/19.5v-3.33a-65w-ac-power-adapter-charger-for-laptop-ac-adapter-blue-pin-charger-for-pavilion-17-e127sf-pavilion-15-notebook-pc-15-e029tx-15-e026tx-14-e035tx-14-e022tx-14-e021tx-m4-1010tx-envy-17-j106tx-15-j105tx-m4-1009tx-hp-mpg74703.html
Infinix InBook X1 Pro Intel Core I7 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 10+ Mouse, 375500,https://www.jumia.com.ng/infinix-inbook-x1-pro-intel-core-i7-16gb-ram-512gb-ssd-backlit-keyboard-fp-reader-windows-10-mouse-106069115.html
Infinix INBook X1 Pro Intel Core I3 256GB SSD 8GB RAM Backlit Keyboard Windows 10+ Mouse, 195500,https://www.jumia.com.ng/infinix-inbook-x1-pro-intel-core-i3-256gb-ssd-8gb-ram-backlit-keyboard-windows-10-mouse-106068907.html
Luxury Moveable Macbook Stand/Laptop Stand.No More Neck Pain, 13400,https://www.jumia.com.ng/generic-luxury-moveable-macbook-standlaptop-stand.no-more-neck-pain-100208993.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 32GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-32gb-hdd-win-10-bag-70469904.html
Lenovo Ideapad 15.6inch AMD 3050e 1TB HDD 8GB RAM -Wins 10+ Mouse, 172900,https://www.jumia.com.ng/ideapad-15.6inch-amd-3050e-1tb-hdd-8gb-ram-wins-10-mouse-lenovo-mpg1657521.html
"Multifunctional Laptop Foldable Table,Bed Side Table", 8999,https://www.jumia.com.ng/generic-multifunctional-laptop-foldable-tablebed-side-table-76582001.html
"Aluminum 7~15.4 Inch Macbook Laptop Stand Also For Tablet Notebook, Laptops", 7500,https://www.jumia.com.ng/generic-aluminum-715.4-inch-macbook-laptop-stand-also-for-tablet-notebook-laptops-82043415.html
Mini USB Live Sound Card Audio Mixer For Laptop Microphone Network, 8781,https://www.jumia.com.ng/generic-mini-usb-live-sound-card-audio-mixer-for-laptop-microphone-network-83166420.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 32GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-32gb-hdd-win-10-bag-69709204.html
"Hp 15- Touchscreen Intel Core™ I3-10110U,8GB,1TB HDD,Wins 10 + Free Mouse", 265800,https://www.jumia.com.ng/hp-15-touchscreen-intel-coretm-i3-10110u8gb1tb-hddwins-10-free-mouse-82116477.html
Foldable Laptop Stand Notebook Holder - Alluminium Alloy, 7500,https://www.jumia.com.ng/generic-foldable-laptop-stand-notebook-holder-alluminium-alloy-90989188.html
